Power
t(s)	P(W)
 4.838867188e-009	1678320.125
 4.848632812e-009	3029797.75
 4.858398437e-009	5245964.5
 4.868164062e-009	8734380
 4.877929688e-009	14020226
 4.887695313e-009	21752598
 4.897460938e-009	32704392
 4.907226563e-009	47766364
 4.916992188e-009	67937000
 4.926757813e-009	94310208
 4.936523437e-009	128062616
 4.946289062e-009	170441872
 4.956054687e-009	222756704
 4.965820313e-009	286369088
 4.975585938e-009	362687648
 4.985351563e-009	453163264
 4.995117188e-009	559285376
 5.004882813e-009	682579328
 5.014648438e-009	824603520
 5.024414062e-009	986946816
 5.034179687e-009	1171229440
 5.043945313e-009	1379098112
 5.053710938e-009	1612227328
 5.063476563e-009	1872314624
 5.073242188e-009	2161087744
 5.083007813e-009	2480291584
 5.092773438e-009	2831696384
 5.102539063e-009	3217094400
 5.112304687e-009	3638296832
 5.122070312e-009	4097136128
 5.131835938e-009	4595464192
 5.141601563e-009	5135152128
 5.151367188e-009	5718080512
 5.161132813e-009	6346158592
 5.170898438e-009	7021304832
 5.180664063e-009	7745456128
 5.190429687e-009	8520551936
 5.200195312e-009	9348568064
 5.209960937e-009	1.023147725e+010
 5.219726563e-009	1.117126042e+010
 5.229492188e-009	1.216992358e+010
 5.239257813e-009	1.322948301e+010
 5.249023438e-009	1.435194778e+010
 5.258789063e-009	1.553935258e+010
 5.268554688e-009	1.6793728e+010
 5.278320312e-009	1.811713843e+010
 5.288085937e-009	1.951161344e+010
 5.297851562e-009	2.097922458e+010
 5.307617188e-009	2.252201779e+010
 5.317382813e-009	2.414206157e+010
 5.327148438e-009	2.584144077e+010
 5.336914063e-009	2.762219315e+010
 5.346679688e-009	2.948639539e+010
 5.356445313e-009	3.143615078e+010
 5.366210937e-009	3.347347251e+010
 5.375976562e-009	3.56004823e+010
 5.385742187e-009	3.78191831e+010
 5.395507813e-009	4.013164544e+010
 5.405273438e-009	4.253986816e+010
 5.415039063e-009	4.50459648e+010
 5.424804688e-009	4.765193011e+010
 5.434570313e-009	5.035975885e+010
 5.444335938e-009	5.31715113e+010
 5.454101562e-009	5.608906342e+010
 5.463867187e-009	5.911445094e+010
 5.473632812e-009	6.224964403e+010
 5.483398438e-009	6.5496576e+010
 5.493164063e-009	6.885704499e+010
 5.502929688e-009	7.23331072e+010
 5.512695313e-009	7.5926528e+010
 5.522460938e-009	7.963906867e+010
 5.532226563e-009	8.347262976e+010
 5.541992187e-009	8.742898893e+010
 5.551757812e-009	9.150980915e+010
 5.561523438e-009	9.57168599e+010
 5.571289063e-009	1.000517386e+011
 5.581054688e-009	1.045161083e+011
 5.590820313e-009	1.0911155e+011
 5.600585938e-009	1.138396283e+011
 5.610351563e-009	1.187016294e+011
 5.620117188e-009	1.23699372e+011
 5.629882812e-009	1.288338391e+011
 5.639648437e-009	1.341066199e+011
 5.649414063e-009	1.395188695e+011
 5.659179688e-009	1.450718822e+011
 5.668945313e-009	1.50766633e+011
 5.678710938e-009	1.566043341e+011
 5.688476563e-009	1.625861652e+011
 5.698242188e-009	1.687127327e+011
 5.708007812e-009	1.749851832e+011
 5.717773437e-009	1.814041068e+011
 5.727539062e-009	1.879703552e+011
 5.737304688e-009	1.946844692e+011
 5.747070313e-009	2.01547137e+011
 5.756835938e-009	2.085586862e+011
 5.766601563e-009	2.157195592e+011
 5.776367188e-009	2.230301655e+011
 5.786132813e-009	2.304904397e+011
 5.795898437e-009	2.381004472e+011
 5.805664062e-009	2.458604995e+011
 5.815429687e-009	2.537703997e+011
 5.825195313e-009	2.618296074e+011
 5.834960938e-009	2.700383519e+011
 5.844726563e-009	2.783956173e+011
 5.854492188e-009	2.869013709e+011
 5.864257813e-009	2.955547771e+011
 5.874023438e-009	3.043549839e+011
 5.883789062e-009	3.133011067e+011
 5.893554687e-009	3.223923917e+011
 5.903320312e-009	3.316273316e+011
 5.913085938e-009	3.410049106e+011
 5.922851563e-009	3.505238508e+011
 5.932617188e-009	3.601827758e+011
 5.942382813e-009	3.699794575e+011
 5.952148438e-009	3.799127491e+011
 5.961914063e-009	3.899807498e+011
 5.971679687e-009	4.00181035e+011
 5.981445312e-009	4.105120317e+011
 5.991210937e-009	4.209709875e+011
 6.000976563e-009	4.315556413e+011
 6.010742188e-009	4.422638961e+011
 6.020507813e-009	4.530923438e+011
 6.030273438e-009	4.640392806e+011
 6.040039063e-009	4.75100545e+011
 6.049804688e-009	4.86274433e+011
 6.059570312e-009	4.975566848e+011
 6.069335937e-009	5.089443512e+011
 6.079101563e-009	5.204346143e+011
 6.088867188e-009	5.320230175e+011
 6.098632813e-009	5.4370671e+011
 6.108398438e-009	5.55481301e+011
 6.118164063e-009	5.673439724e+011
 6.127929688e-009	5.792894812e+011
 6.137695313e-009	5.913144852e+011
 6.147460937e-009	6.034144625e+011
 6.157226562e-009	6.155850875e+011
 6.166992188e-009	6.278223626e+011
 6.176757813e-009	6.401217659e+011
 6.186523438e-009	6.524783821e+011
 6.196289063e-009	6.648873615e+011
 6.206054688e-009	6.773444444e+011
 6.215820313e-009	6.898445189e+011
 6.225585938e-009	7.023824077e+011
 6.235351562e-009	7.149537198e+011
 6.245117187e-009	7.275531469e+011
 6.254882813e-009	7.401757737e+011
 6.264648438e-009	7.528158986e+011
 6.274414063e-009	7.654691308e+011
 6.284179688e-009	7.781297029e+011
 6.293945313e-009	7.907924378e+011
 6.303710938e-009	8.034517647e+011
 6.313476562e-009	8.161027031e+011
 6.323242187e-009	8.287394857e+011
 6.333007812e-009	8.413571318e+011
 6.342773438e-009	8.539499397e+011
 6.352539063e-009	8.665126011e+011
 6.362304688e-009	8.790402007e+011
 6.372070313e-009	8.915270369e+011
 6.381835938e-009	9.039673426e+011
 6.391601563e-009	9.163572511e+011
 6.401367187e-009	9.286890291e+011
 6.411132812e-009	9.409584169e+011
 6.420898437e-009	9.531620721e+011
 6.430664063e-009	9.65292458e+011
 6.440429688e-009	9.773454459e+011
 6.450195313e-009	9.89315924e+011
 6.459960938e-009	1.001198322e+012
 6.469726563e-009	1.012988183e+012
 6.479492188e-009	1.024680919e+012
 6.489257812e-009	1.036271485e+012
 6.499023437e-009	1.047755751e+012
 6.508789063e-009	1.059127034e+012
 6.518554688e-009	1.070383497e+012
 6.528320313e-009	1.081519899e+012
 6.538085938e-009	1.092531257e+012
 6.547851563e-009	1.103413903e+012
 6.557617188e-009	1.114163773e+012
 6.567382813e-009	1.124776673e+012
 6.577148437e-009	1.135249457e+012
 6.586914062e-009	1.145577538e+012
